5 7
-1.000000 -2.000000 2.236068
-1.000000 -1.500000 1.802776
-1.000000 -1.000000 1.414214
-1.000000 -0.500000 1.118034
-1.000000 0.000000 1.000000
-1.000000 0.500000 1.118034
-1.000000 1.000000 1.414214
-0.500000 -2.000000 2.061553
-0.500000 -1.500000 1.581139
-0.500000 -1.000000 1.118034
-0.500000 -0.500000 0.707107
-0.500000 0.000000 0.500000
-0.500000 0.500000 0.707107
-0.500000 1.000000 1.118034
0.000000 -2.000000 2.000000
0.000000 -1.500000 1.500000
0.000000 -1.000000 1.000000
0.000000 -0.500000 0.500000
0.000000 0.000000 0.000000
0.000000 0.500000 0.500000
0.000000 1.000000 1.000000
0.500000 -2.000000 2.061553
0.500000 -1.500000 1.581139
0.500000 -1.000000 1.118034
0.500000 -0.500000 0.707107
0.500000 0.000000 0.500000
0.500000 0.500000 0.707107
0.500000 1.000000 1.118034
1.000000 -2.000000 2.236068
1.000000 -1.500000 1.802776
1.000000 -1.000000 1.414214
1.000000 -0.500000 1.118034
1.000000 0.000000 1.000000
1.000000 0.500000 1.118034
1.000000 1.000000 1.414214
