11 17
-5.000000 -2.000000 29.000000
-5.000000 -1.500000 27.250000
-5.000000 -1.000000 26.000000
-5.000000 -0.500000 25.250000
-5.000000 0.000000 25.000000
-5.000000 0.500000 25.250000
-5.000000 1.000000 26.000000
-5.000000 1.500000 27.250000
-5.000000 2.000000 29.000000
-5.000000 2.500000 31.250000
-5.000000 3.000000 34.000000
-5.000000 3.500000 37.250000
-5.000000 4.000000 41.000000
-5.000000 4.500000 45.250000
-5.000000 5.000000 50.000000
-5.000000 5.500000 55.250000
-5.000000 6.000000 61.000000
-4.000000 -2.000000 20.000000
-4.000000 -1.500000 18.250000
-4.000000 -1.000000 17.000000
-4.000000 -0.500000 16.250000
-4.000000 0.000000 16.000000
-4.000000 0.500000 16.250000
-4.000000 1.000000 17.000000
-4.000000 1.500000 18.250000
-4.000000 2.000000 20.000000
-4.000000 2.500000 22.250000
-4.000000 3.000000 25.000000
-4.000000 3.500000 28.250000
-4.000000 4.000000 32.000000
-4.000000 4.500000 36.250000
-4.000000 5.000000 41.000000
-4.000000 5.500000 46.250000
-4.000000 6.000000 52.000000
-3.000000 -2.000000 13.000000
-3.000000 -1.500000 11.250000
-3.000000 -1.000000 10.000000
-3.000000 -0.500000 9.250000
-3.000000 0.000000 9.000000
-3.000000 0.500000 9.250000
-3.000000 1.000000 10.000000
-3.000000 1.500000 11.250000
-3.000000 2.000000 13.000000
-3.000000 2.500000 15.250000
-3.000000 3.000000 18.000000
-3.000000 3.500000 21.250000
-3.000000 4.000000 25.000000
-3.000000 4.500000 29.250000
-3.000000 5.000000 34.000000
-3.000000 5.500000 39.250000
-3.000000 6.000000 45.000000
-2.000000 -2.000000 8.000000
-2.000000 -1.500000 6.250000
-2.000000 -1.000000 5.000000
-2.000000 -0.500000 4.250000
-2.000000 0.000000 4.000000
-2.000000 0.500000 4.250000
-2.000000 1.000000 5.000000
-2.000000 1.500000 6.250000
-2.000000 2.000000 8.000000
-2.000000 2.500000 10.250000
-2.000000 3.000000 13.000000
-2.000000 3.500000 16.250000
-2.000000 4.000000 20.000000
-2.000000 4.500000 24.250000
-2.000000 5.000000 29.000000
-2.000000 5.500000 34.250000
-2.000000 6.000000 40.000000
-1.000000 -2.000000 5.000000
-1.000000 -1.500000 3.250000
-1.000000 -1.000000 2.000000
-1.000000 -0.500000 1.250000
-1.000000 0.000000 1.000000
-1.000000 0.500000 1.250000
-1.000000 1.000000 2.000000
-1.000000 1.500000 3.250000
-1.000000 2.000000 5.000000
-1.000000 2.500000 7.250000
-1.000000 3.000000 10.000000
-1.000000 3.500000 13.250000
-1.000000 4.000000 17.000000
-1.000000 4.500000 21.250000
-1.000000 5.000000 26.000000
-1.000000 5.500000 31.250000
-1.000000 6.000000 37.000000
0.000000 -2.000000 4.000000
0.000000 -1.500000 2.250000
0.000000 -1.000000 1.000000
0.000000 -0.500000 0.250000
0.000000 0.000000 0.000000
0.000000 0.500000 0.250000
0.000000 1.000000 1.000000
0.000000 1.500000 2.250000
0.000000 2.000000 4.000000
0.000000 2.500000 6.250000
0.000000 3.000000 9.000000
0.000000 3.500000 12.250000
0.000000 4.000000 16.000000
0.000000 4.500000 20.250000
0.000000 5.000000 25.000000
0.000000 5.500000 30.250000
0.000000 6.000000 36.000000
1.000000 -2.000000 5.000000
1.000000 -1.500000 3.250000
1.000000 -1.000000 2.000000
1.000000 -0.500000 1.250000
1.000000 0.000000 1.000000
1.000000 0.500000 1.250000
1.000000 1.000000 2.000000
1.000000 1.500000 3.250000
1.000000 2.000000 5.000000
1.000000 2.500000 7.250000
1.000000 3.000000 10.000000
1.000000 3.500000 13.250000
1.000000 4.000000 17.000000
1.000000 4.500000 21.250000
1.000000 5.000000 26.000000
1.000000 5.500000 31.250000
1.000000 6.000000 37.000000
2.000000 -2.000000 8.000000
2.000000 -1.500000 6.250000
2.000000 -1.000000 5.000000
2.000000 -0.500000 4.250000
2.000000 0.000000 4.000000
2.000000 0.500000 4.250000
2.000000 1.000000 5.000000
2.000000 1.500000 6.250000
2.000000 2.000000 8.000000
2.000000 2.500000 10.250000
